Id,Name,Code,Latitude,Longitude,City,CountryName,CountryCode,TimezoneOffset
21948,Loring International Airport,LIZ,46.950401,-67.885902,Limestone,United States,US,0
319207,Melfi Airport,MEF,11.060192,17.944495,Melfi,Chad,TD,0
508323,Ankokoambo Airport,NKO,-16.594919,44.453654,Ankokoambo,Madagascar,MG,0
525175,Relais de la Reine Airport,RLR,-22.645343,45.323914,Isalo,Madagascar,MG,0
30933,Doany Airport,DOA,-14.3681001663208,49.510799407958984,Doany,Madagascar,MG,0
4643,Coban Airport,CBV,15.469,-90.4067,Coban,Guatemala,GT,0
42223,Carmelita Airport,CMM,17.461201,-90.053703,Carmelita,Guatemala,GT,0
30856,Coatepeque Airport,CTF,14.6942,-91.8825,Coatepeque,Guatemala,GT,0
4644,La Aurora International Airport,GUA,14.582896,-90.527515,Guatemala City,Guatemala,GT,0
42226,Huehuetenango Airport,HUG,15.316667,-91.505556,Huehuetenango,Guatemala,GT,0
313978,National Wildlife Refuge Airport,MGI,28.323,-96.464,Matagorda Island,United States,US,0
313979,Manga Airport,MGP,-4.147,153.0186,Manga Mission,Papua New Guinea,PG,0
4645,Puerto Barrios Airport,PBR,15.7309,-88.583801,Puerto Barrios,Guatemala,GT,0
32161,Playa Grande Airport,PKJ,15.9975,-90.741699,Playa Grande,Guatemala,GT,0
32170,Poptún Airport,PON,16.325799942017,-89.41609954834,Poptún,Guatemala,GT,0
30649,Quiché Airport,AQB,15.0122,-91.150597,Santa Cruz del Quiché,Guatemala,GT,0
30610,Quezaltenango Airport,AAZ,14.8656,-91.501999,Quezaltenango,Guatemala,GT,0
4646,Rubelsanto Airport,RUV,15.992,-90.445297,Rubelsanto,Guatemala,GT,0
42234,Las Vegas Airport,LCF,15.668363,-88.961763,Rio Dulce,Guatemala,GT,0
4647,Retalhuleu Airport,RER,14.521431,-91.697001,Retalhuleu,Guatemala,GT,0
4648,San José Airport,GSJ,13.9362,-90.8358,Puerto San José,Guatemala,GT,0
4649,Mundo Maya International Airport,FRS,16.913707,-89.866143,San Benito,Guatemala,GT,0
32529,Ujae Atoll Airport,UJE,8.92806,165.761993,Ujae Atoll,Marshall Islands,MH,0
35201,Ailuk Airport,AIM,10.2168,169.983002,Ailuk Island,Marshall Islands,MH,0
30661,Aur Island Airport,AUL,8.14528,171.173004,Aur Atoll,Marshall Islands,MH,0
30730,Bikini Atoll Airport,BII,11.522499,165.565127,Bikini Atoll,Marshall Islands,MH,0
30976,Ebadon Airport,EBN,9.330559730529785,166.82000732421875,Ebadon Island,Marshall Islands,MH,0
35202,Jabot Airport,JAT,7.749775,168.977838,Ailinglapalap Atoll,Marshall Islands,MH,0
35203,Jeh Airport,JEJ,7.565350055690001,168.962005615,Ailinglapalap Atoll,Marshall Islands,MH,0
35204,Likiep Airport,LIK,9.82316,169.307999,Likiep Island,Marshall Islands,MH,0
31834,Lae Island Airport,LML,8.92111,166.264999,Lae Island,Marshall Islands,MH,0
31878,Maloelap Island Airport,MAV,8.70444,171.229996,Maloelap Island,Marshall Islands,MH,0
31913,Mejit Atoll Airport,MJB,10.283302,170.869,Mejit Atoll,Marshall Islands,MH,0
35205,Majkin Airport,MJE,8.163362,168.173862,Majkin,Marshall Islands,MH,0
32015,Namorik Airport,NDK,5.633005,168.125631,Namorik Atoll,Marshall Islands,MH,0
32218,Rongelap Island Airport,RNP,11.1572,166.886993,Rongelap Island,Marshall Islands,MH,0
32447,Tinak Airport,TIC,7.121768,171.911584,Arno Atoll,Marshall Islands,MH,0
32527,Jaluit Airport,UIT,5.909213,169.637256,Jabor Jaluit Atoll,Marshall Islands,MH,0
35206,Woja Airport,WJA,7.450833,168.55,Woja,Marshall Islands,MH,0
32680,Wotje Airport,WTE,9.458333,170.238611,Wotje,Marshall Islands,MH,0
32681,Wotho Island Airport,WTO,10.1733,166.003006,Wotho Island,Marshall Islands,MH,0
30625,Ahuas Airport,AHS,15.4722,-84.352203,Ahuas,Honduras,HN,0
30704,Brus Laguna Airport,BHG,15.7631,-84.543602,Brus Laguna,Honduras,HN,0
42051,Carta Airport,LUI,15.033192,-86.692334,La Unión,Honduras,HN,0
42052,Coyoles Airport,CYL,15.445556,-86.675278,Coyoles,Honduras,HN,0
42053,Cauquira Airport,CDD,15.316667,-83.591667,Cauquira,Honduras,HN,0
42054,El Arrayán Airport,OAN,15.505556,-86.574722,Olanchito,Honduras,HN,0
42067,El Aguacate Airport,CAA,14.875,-85.776108,El Aguacate,Honduras,HN,0
42070,Celaque Gracias Airport,GAC,14.573492,-88.595801,Gracias,Honduras,HN,0
42077,Iriona Airport,IRN,15.939167022700001,-85.13722229,Iriona,Honduras,HN,0
42084,Jutigalpa airport,JUT,14.652600288391113,-86.22029876708984,Jutigalpa,Honduras,HN,0
4660,Golosón International Airport,LCE,15.7425,-86.852997,La Ceiba,Honduras,HN,0
31811,La Esperanza Airport,LEZ,14.291111,-88.175003,La Esperanza,Honduras,HN,0
4661,Ramón Villeda Morales International Airport,SAP,15.4526,-87.923599,San Pedro Sula,Honduras,HN,0
42090,Limon Airport,LMH,15.856066,-85.443978,Limón,Honduras,HN,0
22013,Hooker County Airport,MHN,42.042155,-101.059113,Mullen,United States,US,0
4662,La Laguna Airport,GJA,16.4454,-85.906601,Guanaja,Honduras,HN,0
35282,Palacios Airport,PCH,15.955,-84.941391,Palacios,Honduras,HN,0
32153,Puerto Lempira Airport,PEU,15.2622,-83.781197,Puerto Lempira,Honduras,HN,0
4663,Juan Manuel Gálvez International Airport,RTB,16.316799,-86.523003,Coxen Hole,Honduras,HN,0
42124,Rioamarillo Airport,RUY,14.914885,-89.007837,Copán Ruinas,Honduras,HN,0
4664,Palmerola International Airport,XPL,14.3824,-87.621201,Palmerola,Honduras,HN,0
4665,Tela Airport,TEA,15.7759,-87.4758,Tela,Honduras,HN,0
4666,Toncontín Airport,TGU,14.0609,-87.217201,Tegucigalpa,Honduras,HN,0
4667,Trujillo Airport,TJI,15.926599,-85.938573,Trujillo,Honduras,HN,0
42136,Tocoa Airport,TCF,15.659722,-85.994164,Tocoa,Honduras,HN,0
42140,Sulaco Airport,SCD,14.90719985961914,-87.26339721679688,Sulaco,Honduras,HN,0
32522,Utila Airport,UII,16.1131,-86.880302,Utila Island,Honduras,HN,0
315202,Yoro Airport,ORO,15.1275,-87.135,Yoro,Honduras,HN,0
310016,Mainoru Airstrip,MIZ,-14.0533,134.0942,Mainoru,Australia,AU,0
314040,Moki Airport,MJJ,-5.7181,145.2404,Moki,Papua New Guinea,PG,0
314043,Maganja da Costa Airport,MJS,-17.3087,37.5,Maganja,Mozambique,MZ,0
4679,Ian Fleming International Airport,OCJ,18.404079,-76.969754,Boscobel,Jamaica,JM,0
4680,Norman Manley International Airport,KIN,17.935699462890625,-76.7874984741211,Kingston,Jamaica,JM,0
4681,Sangster International Airport,MBJ,18.50342,-77.91323,Montego Bay,Jamaica,JM,0
4682,Ken Jones Airport,POT,18.1987991333,-76.53450012210001,Ken Jones,Jamaica,JM,0
32020,Negril Airport,NEG,18.341712,-78.334164,Negril,Jamaica,JM,0
4683,Tinson Pen Airport,KTP,17.98859977722168,-76.82379913330078,Tinson Pen,Jamaica,JM,0
31910,Mili Island Airport,MIJ,6.084754,171.731419,Mili Island,Marshall Islands,MH,0
42457,Hinthada Airport,HEB,17.633329391500002,95.4666976929,Hinthada,Myanmar,MM,0
4913,Aeródromo de Cupul,TZM,21.155716,-88.172918,Tizimin,Mexico,MX,0
4688,General Juan N. Álvarez International Airport,ACA,16.757126,-99.753113,Acapulco,Mexico,MX,0
4690,Del Norte International Airport,NTR,25.865601,-100.237,Monterrey,Mexico,MX,0
4691,Aguascalientes International Airport,AGU,21.699589,-102.318372,Aguascalientes,Mexico,MX,0
4692,Bahías de Huatulco International Airport,HUX,15.775437,-96.260456,Huatulco,Mexico,MX,0
29753,Cananea National Airport,CNA,31.06615,-110.097878,Cananea,Mexico,MX,0
4693,General Mariano Matamoros International Airport,CVJ,18.833922,-99.261818,Temixco,Mexico,MX,0
43060,Ciudad Acuña International Airport,ACN,29.333662,-101.100555,Ciudad Acuña,Mexico,MX,0
4694,Ciudad del Carmen International Airport,CME,18.651516,-91.799355,Ciudad del Carmen,Mexico,MX,0
4695,Aeropuerto Municipal de Nuevo Casas Grandes,NCG,30.3974,-107.875,Nuevo Casas Grandes,Mexico,MX,0
4697,Bachigualato Federal International Airport,CUL,24.76504,-107.475228,Culiacán,Mexico,MX,0
4698,Chetumal International Airport,CTM,18.504985,-88.328018,Chetumal,Mexico,MX,0
4699,Ciudad Obregón International Airport,CEN,27.39259910583496,-109.83300018310547,Ciudad Obregón,Mexico,MX,0
